"filename", "language", "YAML", "Dart", "C++", "Swift", "Properties", "XML", "Groovy", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\main.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\aisa_avatar.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\choice_dialog.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\loading_widget.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\components\title_widget.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\aisa.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 2, 77
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\board.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\difficulty.dart", "Dart", 0, 137, 0, 0, 0, 0, 0, 0, 0, 16, 24, 177
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\game.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\invite.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\level.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\multiplayer.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 4, 8, 112
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\request.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\stats.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\theme.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\models\user.dart", "Dart", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 5, 166
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\authentication_provider.dart", "Dart", 0, 89, 0, 0, 0, 0, 0, 0, 0, 21, 26, 136
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\connectivity_provider.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\database_provider.dart", "Dart", 0, 172, 0, 0, 0, 0, 0, 0, 0, 11, 47, 230
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\local_storage_provider.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 8, 37
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\multiplayer_provider.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 3, 39, 183
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\notification_provider.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 11, 5, 33
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\theme_provider.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\providers\user_state_update_provider.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\auth_screen\auth_screen.dart", "Dart", 0, 116, 0, 0, 0, 0, 0, 0, 0, 2, 22, 140
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\auth_screen\auth_screen_ui.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 93
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\credits_screen\credits_screen.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 11, 59
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\credits_screen\credits_screen_ui.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\edit_profile_screen\edit_profile_screen.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\edit_profile_screen\edit_profile_screen_ui.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\free_play_screen\free_play_screen.dart", "Dart", 0, 338, 0, 0, 0, 0, 0, 0, 0, 14, 48, 400
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\free_play_screen\free_play_screen_ui.dart", "Dart", 0, 230, 0, 0, 0, 0, 0, 0, 0, 15, 9, 254
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\friends_screen\friends_screen.dart", "Dart", 0, 262, 0, 0, 0, 0, 0, 0, 0, 125, 42, 429
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\friends_screen\friends_screen_ui.dart", "Dart", 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 7, 380
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\home_screen\home_screen.dart", "Dart", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 40, 328
